"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39959",26.27,69.96,30.6,25.385,39.2653905,34.14,22.7249935,NA,25.865,37.556066537,59.99,9.725,8.285,22.13994748,30.05,11.88332145,24.255964,22.24,2.01493916,NA,9.79,33.245,96.5,56.877606154,30.335,51.8916636,17.35,48.71696921,NA,6.41
"39960",26.24,69.9,30.38,26.115,38.8323887,34.02,22.96674875,NA,26.03,37.245364849,60.31,10.03,8.14,22.04345801,29.82,11.52332181,23.7302644,22.06,2.0060235,NA,9.86,33.76,97.41,57.001108556,30.205,51.77537976,17.61,48.79649089,NA,6.32
"39961",25.91,69.55,30.03,25.385,38.27145455,33.95,22.38653615,NA,25.685,36.274422074,60.02,9.77,8.075,22.18380633,30,11.4999885,22.641974,21.94,1.95252954,NA,9.84,34.305,98,56.915606893,30.225,51.30055408,17.65,48.707029,NA,6.23
"39962",25.86,69.42,29.78,25.35,39.5212552,34.65,21.6612704,NA,25.84,36.779312317,61.4,9.76,8.09,22.00837093,29.84,11.41665525,23.97928,21.7,1.97481869,NA,9.815,33.915,98.45,55.67108269,30.435,50.11833504,18.03,51.12250003,NA,6.43
"39965",26.55,71.75,31.68,27,39.9148932,34.89,22.96674875,NA,28,38.177469913,64.88,10.19,8.24,22.806602,30.07,11.5333218,24.8646688,22.46,2.13530057,NA,10.09,33.88,99.65,57.058109665,30.97,52.75410208,19.34,53.85605778,NA,6.35
"39966",26.71,71.54,31.99,27.43,39.4228457,35.61,23.96278038,NA,27.86,37.509461284,62.58,10.27,8.15,22.70134076,30.2,11.49665517,26.74612,22.34,2.12638491,NA,10.18,33.495,97.33,57.42861687,31.255,52.812244,19.85,52.84215636,NA,6.51
"39967",26.29,69.75,31.79,27.05,39.8558475,35.15,22.7249935,NA,26.84,35.847207253,61.6,10.025,8.095,22.03468624,30.36,11.12998887,24.5049796,22.01,2.06397529,NA,10.08,33.425,96.5,56.108091189,30.865,51.4555992,19.43,49.83027273,NA,6.49
"39968",26,71.07,31.47,27.11,41.33199,34.6,23.25685505,NA,27.44,37.090014005,62.2,10.125,8.05,21.85925084,30.86,11.22332211,25.178244,22.52,2.21999934,NA,10,34.345,98.3,56.117591374,30.505,52.44401184,20.4,51.4902878,NA,6.62
"39969",26.06,70.9,31.33,27.97,40.7218511,34,23.5953124,NA,27.785,37.377413067,62.89,10.385,7.99,21.74521783,30.36,11.1333222,24.763218,22.56,2.28686679,NA,9.905,34.4,98,55.690083059,30.36,52.92852784,20.48,53.07078119,NA,6.6
"39972",25.74,69.02,30.76,28.07,40.02314365,33.93,22.96674875,NA,26.77,36.468610629,60.99,10.24,7.98,21.4031188,30.54,10.8999891,25.408814,22.24,2.17987887,NA,9.775,33.84,96,55.129572159,30.415,51.73661848,19.87,52.46442838,NA,6.46
"39973",25.84,68.5,30.7,28.04,40.12155315,33.79,21.16808969,NA,26.56,36.429772918,59.46,9.985,7.99,21.6662719,30.88,10.9333224,25.3627,22.48,2.23783066,NA,9.665,34.35,96,55.680582875,30.5,51.7947604,19.62,52.65329237,NA,6.68
"39974",27.53,68.4,30.81,28.915,40.347895,33.75,21.33248326,NA,26.99,36.18897911,58.6,9.99,7.905,21.94696854,30.68,11.1333222,26.423322,23.17,2.29578245,NA,9.515,35.58,95.51,55.414577701,29.87,51.96918616,20.15,52.683113,NA,6.85
"39975",27.86,69.61,31.49,29.38,41.10564815,33.54,22.4348872,NA,27.9,37.183224512,61.07,10.1,8.01,22.48204651,30.88,10.80665586,26.5985552,23.28,2.42060169,NA,9.47,36.11,97.25,56.146091928,29.975,52.812244,20.57,52.46442838,NA,6.87
"39976",26.88,68.39,31.66,29.18,40.9777158,33.55,22.31884468,NA,27.75,36.701636895,58.7,10,8.06,22.32415465,31.15,10.68665598,26.2296432,22.78,2.38493905,NA,9.3,36.685,96.45,56.146091928,29.44,52.327728,20.08,52.01711893,NA,6.82
"39979",26.7,65.6,30.65,27.81,39.2260267,33.18,20.89732381,NA,25.95,34.643238212,55.49,9.67,7.96,21.49960827,31.08,10.66332267,25.0952388,22.29,2.24228849,NA,9.075,36.585,93.55,54.578561443,28.99,49.76948352,19.01,49.81039231,NA,6.46
"39980",26.52,64.6,30.26,27.57,39.3638,32.88,19.57250504,NA,25.645,34.200488307,57.32,9.575,7.95,21.72767429,31.11,10.9333224,25.3903684,22.15,2.17987887,NA,9.065,35.195,92.83,54.350557008,28.91,50.06988344,19.22,48.41876291,NA,6.59
"39981",26.91,64.31,29.3,27.125,38.72413825,33.2,18.75053719,NA,25.1,33.78880857,56.98,9.03,8.18,21.45574942,32,11.2333221,24.8001092,22.12,2.05951746,NA,8.94,35.445,93,54.037050911,28.935,49.9535996,18.37,46.37107965,NA,6.47
"39982",26.86,65.77,29.06,27.325,39.3047543,33,19.62085609,NA,25.13,34.790821514,58.15,8.985,8.365,21.77153314,32.01,11.4333219,28.6736852,22.09,2.12638491,NA,8.895,35.335,95.09,53.942049064,28.87,49.36249008,18.05,47.4148017,NA,6.59
"39983",26.8,65.16,29.04,26.795,39.59014185,32.89,18.69251593,NA,24.5,33.944159414,57.55,9.04,8.35,22.49959005,31.82,11.2999887,28.775136,22.57,2.0506018,NA,8.66,35.89,93.8,54.09405202,28.86,49.16868368,17.87,47.76270905,NA,6.47
"39986",26.26,62.61,28.09,25.67,38.2222498,31.99,18.8569095,NA,24.4,31.419708199,54.38,8.775,8.24,21.72767429,31.96,11.21665545,27.068918,22.01,1.9168669,NA,8.625,35.41,92.62,53.09653262,28.27,47.24031,16.97,46.53012301,NA,6.2
"39987",26.98,63.37,28.06,26.095,37.83845275,32.5,19.28239874,NA,25.25,31.404173115,55.36,8.815,8.24,22.28906757,32.11,11.4999885,27.530058,22.07,2.0506018,NA,8.68,36.28,92,53.828046847,28.17,46.74610368,17.1,47.29551918,NA,6.24
